DATE,ELEC,NG,CO2,PERIOD
11-Jan,46.22,15.32,17.38,Period 1
11-Feb,40.54,13.96,17.98,Period 1
11-Mar,35.65,13.55,19.64,Period 1
11-Apr,39.09,14.47,,Period 1
11-May,40.02,14.71,19.72,Period 1
11-Jun,43.61,15.49,17.92,Period 1
11-Jul,51.81,15.08,15.2,Period 1
11-Aug,42.27,13.85,14.78,Period 1
11-Sep,39.87,13.31,14.06,Period 1
11-Oct,36.64,12.18,12.39,Period 1
11-Nov,36.05,11.06,10.95,Period 1
11-Dec,35.35,10.82,8.95,Period 1
12-Jan,31.71,9.11,8.56,Period 1
12-Feb,28.99,8.56,10.3,Period 1
12-Mar,25.82,7.4,9.1,Period 1
12-Apr,26.16,6.65,8.39,Period 1
12-May,28.93,8.29,7.97,Period 1
12-Jun,33.57,8.39,8.72,Period 1
12-Jul,41.62,10.07,9,Period 1
12-Aug,40.75,9.69,9.22,Period 1
12-Sep,35.4,9.72,9.38,Period 1
12-Oct,38.04,11.33,9.57,Period 1
12-Nov,40.59,12.08,8.97,Period 1
12-Dec,36.88,11.4,7.99,Period 1
13-Jan,45.01,11.36,6.06,Period 1
13-Feb,49.47,11.36,5.59,Period 1
13-Mar,43.73,13,4.97,Period 1
13-Apr,44.19,14.23,4.59,Period 1
13-May,44.78,13.79,4.3,Period 1
13-Jun,42.64,13.07,5.15,Period 1
13-Jul,51.76,12.35,5.14,Period 2
13-Aug,41.52,11.7,5.36,Period 2
13-Sep,42.6,12.35,6.31,Period 2
13-Oct,38.72,12.56,5.89,Period 2
13-Nov,41.15,12.42,5.46,Period 2
13-Dec,59.36,14.47,5.83,Period 2
14-Jan,90.58,16.07,6.1,Period 2
14-Feb,90.14,20.47,7.98,Period 2
14-Mar,60.81,16.72,7.17,Period 2
14-Apr,45.84,15.9,6.45,Period 2
14-May,46.53,15.63,6.16,Period 2
14-Jun,47.59,15.66,6.82,Period 2
14-Jul,45.65,13.82,7.26,Period 2
14-Aug,43.94,13.34,7.58,Period 2
14-Sep,42.35,13.38,7.24,Period 2
14-Oct,41.54,12.9,7.45,Period 2
14-Nov,45.88,14.06,8.3,Period 2
14-Dec,37.89,11.87,8.48,Period 2
15-Jan,39.98,10.2,8.46,Period 2
15-Feb,51.24,9.79,8.8,Period 2
15-Mar,35.95,9.66,8.27,Period 2
15-Apr,29.69,8.91,8.6,Period 2
15-May,32.54,9.72,9,Period 2
15-Jun,35.35,9.49,9.03,Period 2
15-Jul,37.54,9.69,9.42,Period 2
15-Aug,37.95,9.45,9.79,Period 2
15-Sep,34.09,9.08,9.82,Period 2
15-Oct,32.18,7.98,10.19,Period 2
15-Nov,28.12,7.13,10.3,Period 2
15-Dec,26.9,6.59,9.98,Period 2
16-Jan,29.55,7.78,8.26,Period 3
16-Feb,24.28,6.79,6.2,Period 3
16-Mar,21.11,5.9,5.97,Period 3
16-Apr,24.9,6.55,6.92,Period 3
16-May,23.87,6.55,7.21,Period 3
16-Jun,30.08,8.84,6.66,Period 3
16-Jul,38.78,9.62,5.62,Period 3
16-Aug,38.79,9.62,5.63,Period 3
16-Sep,34.03,10.2,5.23,Period 3
16-Oct,32.35,10.17,7.01,Period 3
16-Nov,27.51,8.7,6.51,Period 3
16-Dec,39.95,12.25,6.48,Period 3
17-Jan,34.05,11.26,6.33,Period 3
17-Feb,27.84,9.72,6.3,Period 3
17-Mar,26.79,9.83,6.07,Period 3
17-Apr,27.97,10.58,5.77,Period 3
17-May,30.64,10.75,5.71,Period 3
17-Jun,35.52,10.17,5.98,Period 3
17-Jul,39.69,10.17,6.38,Period 3
17-Aug,47.18,9.9,6.92,Period 3
17-Sep,35.38,10.17,8.28,Period 3
17-Oct,39.38,9.83,8.87,Period 3
17-Nov,34.58,10.27,9.17,Period 3
17-Dec,43.02,9.62,9.2,Period 3
18-Jan,47.5,13.21,10.15,Period 3
18-Feb,33.35,9.11,11.59,Period 3
18-Mar,30.98,9.18,14.26,Period 3
18-Apr,32.05,9.55,16.09,Period 3
18-May,27.91,9.55,18.33,Period 3
18-Jun,33.15,10.13,18.34,Period 3
18-Jul,91.02,9.66,20.01,Period 4
18-Aug,67.85,10.1,23.1,Period 4
18-Sep,37.14,10.24,25.94,Period 4
18-Oct,42.23,11.19,23.38,Period 4
18-Nov,53.79,13.96,23.61,Period 4
18-Dec,55.39,13.79,27.87,Period 4
19-Jan,41.71,10.61,27.94,Period 4
19-Feb,62.3,9.18,25.43,Period 4
19-Mar,43.42,10.07,26.55,Period 4
19-Apr,25.14,9.04,31.1,Period 4
19-May,21.22,9.01,30.95,Period 4
19-Jun,28.11,8.19,30.48,Period 4
19-Jul,36.43,8.09,33.95,Period 4
19-Aug,36.38,7.57,32.31,Period 4
19-Sep,35.09,8.74,30.78,Period 4
19-Oct,33.33,7.95,30.17,Period 4
19-Nov,37.77,9.04,29.68,Period 4
19-Dec,36.22,7.57,30.56,Period 4
20-Jan,27.06,6.89,29.53,Period 4
20-Feb,23.46,6.52,29.2,Period 4
20-Mar,24.04,6.11,23.66,Period 4
20-Apr,19.22,5.94,24.68,Period 4
20-May,20.22,5.97,24.23,Period 4
20-Jun,24.88,5.56,29.02,Period 4
20-Jul,32.43,6.04,33.23,Period 4
20-Aug,85.42,7.85,32.7,Period 4
20-Sep,47.19,6.55,33.44,Period 4
20-Oct,39.21,8.16,30.27,Period 4
20-Nov,29.9,8.91,32.69,Period 4
20-Dec,35.75,8.84,38.01,Period 4
